Coin,Quantile,Horizon,Engine,Pseudo-R2,Loss_IS,Loss_OOS,Loss_Metric
BTC,0.01,1,Expanding,0.26855472629139754,0.0006886292241552039,0.0007052888130985626,MSE
BTC,0.01,5,Expanding,0.19114050625785262,0.0007615119075171287,0.0007656719817832121,MSE
BTC,0.01,10,Expanding,0.14302451362192303,0.000806811371290187,0.0007997694317038072,MSE
BTC,0.05,1,Expanding,0.2646359510528412,0.00039283358709622665,0.00040725292661638566,MSE
BTC,0.05,5,Expanding,0.1698918778677857,0.0004434461431202527,0.00045845463858521375,MSE
BTC,0.05,10,Expanding,0.11344089797902801,0.00047360241871809773,0.0004886370017677129,MSE
BTC,0.1,1,Expanding,0.29698891775940184,0.0002513500407913245,0.00026592267844166925,MSE
BTC,0.1,5,Expanding,0.19812357602362052,0.0002866977163911699,0.0003004267857615754,MSE
BTC,0.1,10,Expanding,0.1289522677458168,0.00031142877909618854,0.00032644929034380784,MSE
ETH,0.01,1,Expanding,0.19194004720283453,0.000256181001838757,0.00028308620282737273,MSE
ETH,0.01,5,Expanding,0.17337541305063353,0.00026445112729173604,0.00028884686431768474,MSE
ETH,0.01,10,Expanding,0.17911834745781308,0.00026314443818360397,0.00028683912323901475,MSE
ETH,0.05,1,Expanding,0.2673487719336075,0.00016242704008996198,0.00018685277043851154,MSE
ETH,0.05,5,Expanding,0.20085716345529514,0.00017985131189305332,0.00020799197479090344,MSE
ETH,0.05,10,Expanding,0.1925400152584542,0.00018288941503024727,0.00021189789855103242,MSE
ETH,0.1,1,Expanding,0.23174604286863354,0.00018425379674742392,0.00021688745797666104,MSE
ETH,0.1,5,Expanding,0.17486428228033257,0.0001997673261282821,0.00023541377261624753,MSE
ETH,0.1,10,Expanding,0.15272648166439784,0.00020596573913462675,0.00024168887069891918,MSE
XRP,0.01,1,Expanding,0.1639481631421773,0.0003274898196322608,0.00030971276644272034,MSE
XRP,0.01,5,Expanding,0.13417441357177184,0.0003391524934602788,0.0003194347092269868,MSE
XRP,0.01,10,Expanding,0.1401296448780961,0.0003368197701285458,0.000319497614428163,MSE
XRP,0.05,1,Expanding,0.20887496562411367,0.00014921772800803387,0.00017255973266315847,MSE
XRP,0.05,5,Expanding,0.17318712948437043,0.0001559489747704329,0.00018139278455585518,MSE
XRP,0.05,10,Expanding,0.16935906594592964,0.00015667100342463562,0.0001805555872426415,MSE
XRP,0.1,1,Expanding,0.19554121769445953,0.00011475265219848864,0.00012573472956170812,MSE
XRP,0.1,5,Expanding,0.15627525649161955,0.00012035377594560621,0.00013285311184198616,MSE
XRP,0.1,10,Expanding,0.15320215920815639,0.00012079214031118715,0.00013239717616111114,MSE
BNB,0.01,1,Expanding,0.2429871438934308,0.00039183305862563924,0.0003984077187539871,MSE
BNB,0.01,5,Expanding,0.1983440879838697,0.0004156062302253686,0.0004242451045234286,MSE
BNB,0.01,10,Expanding,0.19379012398820994,0.00041869730543450114,0.0004280609083624777,MSE
BNB,0.05,1,Expanding,0.3167673648788958,0.00021861062153327355,0.00022650358673985226,MSE
BNB,0.05,5,Expanding,0.26851601473834097,0.00023445859569573224,0.000244769653686121,MSE
BNB,0.05,10,Expanding,0.2539525670105879,0.000239633291110898,0.00024971470217225036,MSE
BNB,0.1,1,Expanding,0.3183481787254766,0.00015270520220791162,0.00016462760613301618,MSE
BNB,0.1,5,Expanding,0.2642860953475269,0.00016512544621082267,0.000179257844415351,MSE
BNB,0.1,10,Expanding,0.2509657422458327,0.00016851686257083153,0.00018333007448076714,MSE
SOL,0.01,1,Expanding,0.04670047973741298,0.0001818465359016439,0.00013556596437708652,MSE
SOL,0.01,5,Expanding,0.051243218728991624,0.00017801828945633464,0.00013155722056684964,MSE
SOL,0.01,10,Expanding,0.065424385101985,0.00017047055821927998,0.00012943515521989868,MSE
SOL,0.05,1,Expanding,0.07819633121590219,7.954852410004218e-05,6.89660655420964e-05,MSE
SOL,0.05,5,Expanding,0.06317893805588704,8.098976150027219e-05,6.845153585295105e-05,MSE
SOL,0.05,10,Expanding,0.05880036409892209,8.156158492401279e-05,6.775300091073655e-05,MSE
SOL,0.1,1,Expanding,0.1744710618129588,2.7302158892879008e-05,3.0452365173435808e-05,MSE
SOL,0.1,5,Expanding,0.17192068671030947,2.7447301998281783e-05,3.0649946046214055e-05,MSE
SOL,0.1,10,Expanding,0.1655496525271326,2.772477410966693e-05,3.0743571383141444e-05,MSE
