time,btc_PriceUSD,btc_CapMrktCurUSD,btc_CapMVRVCur,btc_CapMrktEstUSD,btc_AdrActCnt,btc_FlowInExUSD,btc_FlowOutExUSD,btc_HashRate,btc_volume_reported_spot_usd_1d,eth_PriceUSD,eth_CapMrktCurUSD,eth_CapMVRVCur,eth_CapMrktEstUSD,eth_AdrActCnt,eth_FlowInExUSD,eth_FlowOutExUSD,eth_HashRate,eth_volume_reported_spot_usd_1d,xrp_PriceUSD,xrp_CapMrktCurUSD,xrp_CapMVRVCur,xrp_CapMrktEstUSD,xrp_AdrActCnt,xrp_volume_reported_spot_usd_1d,bnb_PriceUSD,bnb_CapMrktCurUSD,bnb_CapMVRVCur,bnb_CapMrktEstUSD,bnb_AdrActCnt,bnb_volume_reported_spot_usd_1d,sol_CapMrktEstUSD,sol_volume_reported_spot_usd_1d,usdt_MC,usdc_MC,M_fiat,btc_ret,M_vol,M_trend,btc_vol_clean,M_volu,btc_MC,eth_MC,xrp_MC,bnb_MC,eth_fac_security,eth_TVL,bnb_TVL,sol_TVL,eth_tvl_growth,bnb_tvl_growth,sol_tvl_growth,btc_fac_val,eth_fac_val,xrp_fac_val,sol_fac_val,bnb_fac_val,sol_PriceUSD,sol_MC,sol_ret,eth_ret,xrp_ret,bnb_ret,sys_ret_excl_btc,sys_ret_excl_eth,sys_ret_excl_xrp,sys_ret_excl_bnb,sys_ret_excl_sol,mkt_ret,sol_AdrActCnt,M_fund,bnb_OI,btc_OI,eth_OI,sol_OI,xrp_OI,btc_Lev,eth_Lev,xrp_Lev,bnb_Lev,sol_Lev,btc_Ret,eth_Ret,xrp_Ret,sol_Ret,bnb_Ret,btc_NetAct,btc_Val,eth_NetAct,eth_Liq,eth_Val,xrp_NetAct,xrp_Val,sol_NetAct,sol_Liq,sol_Val,bnb_NetAct,bnb_Liq,bnb_Val,btc_fac_security
2020-04-12,6978.66628661601,127854957413.5737,1.26554137,127842187704.51868,618062.0,119151147.28786604,119211280.49739297,111919080.56778164,3099397086.14627,160.649303331385,17750727980.30329,0.75898713,17748494749.077957,365161.0,41745404.524390325,53911363.63432486,170.19044930307948,911065507.661492,0.190866420069445,19084907801.06382,0.428291146358,8394107858.135296,4186.0,169174079.221781,14.3878973171325,,,2176283651.5693994,,92938385.8259088,7247081.666323752,22963138.8631358,6978987816.443192,717921399.9498539,7.705374777700058e-05,0.01377674381208216,100.86629542431349,-0.0016856606126862536,3099397086.14627,21.85447344118229,127854957413.5737,17750727980.30329,19084907801.06382,2176283651.5693994,0.04216113417191547,593536071,,,0.008236942888270704,,,0.26554137,-0.24101287000000005,-0.5717088536420001,,,0.7847113148208426,6173607.678345317,-0.19912034196448636,0.013900483206342962,0.015605564940834205,0.040564542137347726,0.016188005975260517,0.014392925115966612,0.014177181680363915,0.013994021932145564,0.01434844022250521,0.014340542766869264,,-0.01136307,15899548.0,2102630935.0,364346664.0,,92009715.0,0.01644543925034208,0.020525730798437638,0.004821072019791013,0.007305825225739413,,0.01377674381208216,0.013900483206342962,0.015605564940834205,-0.19912034196448636,0.040564542137347726,-0.026948029977230448,0.26554137,-0.05830078809984762,0.008236942888270704,29.906738356097808,0.018079316108066124,-0.5717088536420001,,,,,,,
2020-04-13,6863.57553319696,125761070198.93243,1.24500204,125747052575.53651,764583.0,208273211.78912345,292997109.45468664,125086031.2228148,3869390027.62886,157.198628579778,17371602605.4023,0.74416808,17369419396.38593,379831.0,77041293.96369185,76344764.92528076,166.90103853794824,1131394482.93827,0.188398741166245,18838162209.63876,0.423241436212,8285581890.785098,4696.0,196298595.941188,15.0307674702069,,,2273522864.0394373,,106779105.680932,6272480.380791288,11282083.66568,7114254659.941618,726391547.6299306,0.01850240759228683,-0.016629301396504204,95.09617790034717,-0.0027993945049819124,3869390027.62886,22.07636271596568,125761070198.93243,17371602605.4023,18838162209.63876,2273522864.0394373,-0.019517046847197683,589850034,,,-0.006229664021372372,,,0.24500203999999992,-0.25583192,-0.576758563788,,,0.8759944068917709,7269680.447445141,0.11004380776472086,-0.021713593081064353,-0.013013131596118832,0.04371187591061254,-0.013566014555072859,-0.01522523087963957,-0.01628692853246361,-0.01674832630056984,-0.015917028863277817,-0.015911453910720023,,-0.03042993,17003169.0,2079203999.0,372586035.0,,89235249.0,0.016532969985950788,0.02144799437699153,0.004736940260252232,0.007478776338228661,,-0.016629301396504204,-0.021713593081064353,-0.013013131596118832,0.11004380776472086,0.04371187591061254,0.21274181111716572,0.24500203999999992,0.03938806473485634,-0.006229664021372372,29.450880061155175,0.11496545850198814,-0.576758563788,,,,,,,0.11122563511022676
2020-04-14,6875.53850344828,125994705942.76488,1.24727346,125980918282.07004,843493.0,178905012.68873367,207215188.21121487,122891539.44697596,3117543559.08409,159.006158445354,17573510966.651707,0.75251463,17571338460.463604,384356.0,36704225.264969744,46749170.22608139,170.4165467963847,858824623.38001,0.186311644626537,18629471408.58755,0.418581832915,8211346134.569701,4850.0,148755175.510309,15.6248045369338,,,2363375684.6600423,,116728968.892874,5365156.692380488,11222990.8362398,7228473199.817851,736743045.4402189,0.015762837028756138,0.0017414475551618125,94.46401374281629,-0.002756464887216481,3117543559.08409,21.860311207861617,125994705942.76488,17573510966.651707,18629471408.58755,2363375684.6600423,0.020844662128760127,584568119,,,-0.008995008464147247,,,0.24727345999999994,-0.24748537000000004,-0.581418167085,,,0.7867121945458646,6302364.150584625,-0.10749722398966727,0.011432777921032589,-0.011139900052929974,0.03876042089139764,0.002185785147517809,0.0006994215671672349,0.00350323793939482,0.0013077316022158396,0.0018497826893506674,0.0018455950750618695,,-0.01868701,22456244.0,2081567971.0,378509349.0,,90252664.0,0.016521074877110995,0.021538629913981137,0.004844617542846471,0.009501766539173902,,0.0017414475551618125,0.011432777921032589,-0.011139900052929974,-0.10749722398966727,0.03876042089139764,0.09822101602902755,0.24727345999999994,0.01184278949116191,-0.008995008464147247,30.062383485288404,0.032267622423596265,-0.581418167085,,,,,,,-0.017699577099399733
2020-04-15,6625.47577510228,121426285928.7838,1.20252464,121412916905.82484,926278.0,341171633.33649313,329449855.7570041,123623036.70558888,3052769011.1621,152.951140736411,16906396014.25808,0.72544132,16904276680.161112,365728.0,37607146.774192385,49299612.318059094,168.9600660291767,820852640.27801,0.180760083524585,18074365637.31652,0.406237914497,7966671198.192438,5078.0,186977784.043952,14.5839456457363,,,2205937517.11026,,92355827.3130438,5126711.21727128,7163281.30188479,7218136493.007923,734871658.1494457,-0.0015338515389871077,-0.037047783855987504,92.03716305748073,-0.003050516317307582,3052769011.1621,21.839314888210907,121426285928.7838,16906396014.25808,18074365637.31652,2205937517.11026,-0.00858332397785233,591749435,,,0.012209977133061045,,,0.20252464000000003,-0.27455868000000005,-0.593762085503,,,0.666673390515131,5306221.06575891,-0.16556222550378744,-0.0388244050309039,-0.03025013374171759,-0.06893837551770021,-0.036461733880084,-0.036682023205467464,-0.037766895971915126,-0.03645866781615815,-0.036906065951326804,-0.0369103698561185,,-0.02051479,21989495.0,2169313579.0,392278605.0,,87112414.0,0.01786527161237804,0.023202970323726608,0.004819666468412413,0.009968321781301338,,-0.037047783855987504,-0.0388244050309039,-0.03025013374171759,-0.16556222550378744,-0.06893837551770021,0.09362280237669829,0.20252464000000003,-0.0496793187295399,0.012209977133061045,28.570193758204567,0.04593877833309534,-0.593762085503,,,,,,,0.005934735519812051
2020-04-16,7127.79228223261,130646051882.06584,1.29329091,130633094832.86205,880665.0,425645914.39145726,373692482.0408598,112650577.8263946,5365959878.03098,172.970440327294,19121580177.10892,0.81636589,19119196833.544605,366904.0,120499553.68172166,120921214.02829304,169.98947328016567,2002661487.75308,0.191187408753579,19117003264.28207,0.42943430472,8426236551.096878,5330.0,272516780.352842,15.7307249280375,,,2379396984.3987007,,93538356.5379843,5527442.69576492,15590541.0914411,7348050700.917587,734174532.3737105,0.016116993886630127,0.0730793642394918,91.6390771406326,-0.002482865986825051,5365959878.03098,22.403341111849766,130646051882.06584,19121580177.10892,19117003264.28207,2379396984.3987007,0.006074121936140209,678574070,,,0.13691034699883886,,,0.29329091000000007,-0.18363410999999996,-0.57056569528,,,0.6376210673084666,5114653.932636794,-0.04455608809027689,0.12300218593854773,0.0560834980321081,0.07569449131649719,0.08871859526374856,0.0709808142878797,0.07939031047595758,0.07680422938658034,0.07679243595064893,0.07678881208892768,,0.00675828,21265636.0,1994380676.0,389742680.0,,85775666.0,0.01526552580249671,0.0203823468766757,0.004486878242065376,0.008937405628163413,,0.0730793642394918,0.12300218593854773,0.0560834980321081,-0.04455608809027689,0.07569449131649719,-0.05049710166640686,0.29329091000000007,0.0032103457397969493,0.13691034699883886,28.17906109661532,0.04843375489526558,-0.57056569528,,,,,,,-0.09294611250944484
2020-04-17,7081.39519842197,129806876584.3978,1.28483033,129796393847.65836,844316.0,247422189.60016155,352568149.804004,92900151.8438449,2750585923.5466,172.23222063121,19042305466.550358,0.80957163,19039962026.433464,383745.0,56920392.95147984,62128382.12663053,167.29566642320484,961577821.894445,0.190312295503785,19029499773.192448,0.427511191106,8390796972.59908,5046.0,140364273.412022,15.7322059941743,,,2379621007.405633,,75374974.1986282,5305312.182146792,3730890.92250339,7347856126.962685,730227333.4733077,-0.0005125858700445463,-0.006530598427488599,91.6800604781274,-0.0025749077916742045,2750585923.5466,21.735079789038025,129806876584.3978,19042305466.550358,19029499773.192448,2379621007.405633,-0.01597380862361497,623647560,,,-0.08440823948420473,,,0.2848303299999999,-0.19042837,-0.572488808894,,,0.6923331250859114,5505929.486978686,0.08232306591173488,-0.0042770285685902465,-0.004587761274484237,9.414673677765606e-05,-0.004154293937613579,-0.006178632451916284,-0.006139372581902077,-0.0060518540746597295,-0.005968812212210561,-0.005965957061378679,,-0.005297,22758970.0,2072207142.0,394655088.0,,69787619.0,0.015963770152444066,0.02072517367675094,0.0036673385970088595,0.009564115432319546,,-0.006530598427488599,-0.0042770285685902465,-0.004587761274484237,0.08232306591173488,9.414673677765606e-05,-0.04215047180082543,0.2848303299999999,0.044878036045579606,-0.08440823948420473,30.53376087377037,-0.05475538795888646,-0.572488808894,,,,,,,-0.19276551595503832
2020-04-18,7262.79234360023,133146355855.414,1.31739282,133132517905.95804,847811.0,126844209.70826945,136868088.11760437,115576566.86084642,2719373298.145,188.109414903565,20800266031.23806,0.87925515,20797696180.25448,407052.0,73894824.79230508,81634881.82175845,168.25479882417233,1373105707.32129,0.19552944024185,19551166736.046593,0.439104650863,8620818906.588608,4920.0,142888064.010132,16.6317064354381,,,2515677587.582284,,98350622.3263933,5434540.875572112,3494687.33209122,7471076067.6135235,731103836.6646764,0.01524531201852497,0.025293425004390357,78.87960110621314,-0.00199004584533914,2719373298.145,21.723667285613235,133146355855.414,20800266031.23806,19551166736.046593,2515677587.582284,0.005716785476229447,631478105,,,0.01247786865904743,,,0.31739282,-0.12074485000000001,-0.560895349137,,,0.657449398309544,5348323.975349362,-0.05169943407291738,0.08818010153500033,0.027044574185255632,0.05560095136944643,0.05837127584454382,0.02600254896369697,0.03413801238835456,0.03302749167391797,0.03335269800563226,0.03335011370032175,,-0.017521,24765345.0,2167047977.0,445651568.0,,75887218.0,0.01627568372470694,0.021425282125272616,0.0038814674860342896,0.009844403401391739,,0.025293425004390357,0.08818010153500033,0.027044574185255632,-0.05169943407291738,0.05560095136944643,0.004130901486696814,0.31739282,0.05896267190865423,0.01247786865904743,32.939013825725695,-0.025287319714649925,-0.560895349137,,,,,,,0.2184079465683766
2020-04-19,7150.2442154588,131096633928.62564,1.29699559,131083818397.0577,718815.0,113151633.64893752,107368987.82658276,111187583.3091687,2533635490.63048,181.230814377557,20042136926.75024,0.84905653,20039638790.1467,376420.0,51372876.828767166,53681734.48430342,164.70244473035925,1269429868.68029,0.190315205656953,19029790581.784775,0.427489441888,8390925280.14919,4641.0,115396809.43412,16.1450841537158,,,2387598785.4437313,,72081065.6423219,4849761.633956856,3671964.12021414,7462296861.335208,728511259.1699576,-0.0013873963160300207,-0.015617863089039119,79.14372727776352,-0.0020980329561463523,2533635490.63048,21.652921061075467,131096633928.62564,20042136926.75024,19029790581.784775,2387598785.4437313,-0.021339009494949934,648221896,,,0.026169800062330495,,,0.2969955900000001,-0.15094346999999997,-0.572510558112,,,0.6769721852162044,5423066.285864263,0.0292623863711739,-0.03725235128285753,-0.027029282840519864,-0.029695283246216064,-0.03211676532065475,-0.017260439014855074,-0.018659377873623324,-0.01944050916600906,-0.019583931487981144,-0.01958239640227712,,-0.004791,24274191.0,2119527619.0,439263888.0,,74475706.0,0.01616767384091614,0.021917018609613155,0.003913637708198838,0.010166779757131046,,-0.015617863089039119,-0.03725235128285753,-0.027029282840519864,0.0292623863711739,-0.029695283246216064,-0.1650537107873724,0.2969955900000001,-0.07823540014680042,0.026169800062330495,30.918636118935176,-0.058378670245177844,-0.572510558112,,,,,,,-0.03871451218068955
2020-04-20,6853.27341478667,125665595004.13223,1.24397211,125652622985.53476,842251.0,237467411.47290376,277883359.6557668,117771058.63668528,3995765172.79067,171.013763296318,18914582017.707367,0.80241005,18912213343.399124,385538.0,85502190.90555453,92180425.95328005,164.2798529462281,1719306179.76602,0.181926413846167,18190987545.072006,0.408981270702,8021066628.907672,5554.0,238073928.332959,15.0765813339477,,,2229584370.0072923,,76426358.1935538,4280073.5720132,3374177.16542403,7465484811.090907,736846510.5949931,0.0014058567755483864,-0.04242010322880141,80.8401901744004,-0.002690425921067548,3995765172.79067,22.108500930438055,125665595004.13223,18914582017.707367,18190987545.072006,2229584370.0072923,-0.002569086662402853,679521433,,,0.04715570556972182,,,0.24397211000000008,-0.19758995000000001,-0.591018729298,,,0.6094358389483635,4844617.211182358,-0.10509651167268225,-0.05802739604535034,-0.045079388928760844,-0.06847298168061666,-0.05263797820878693,-0.04315092003758969,-0.04482855674348866,-0.04453272472646843,-0.044854440928948254,-0.04485620965548944,,-0.009796,23038534.0,2187484099.0,443124289.0,,70870068.0,0.017407183715861686,0.02342765431375422,0.0038958889848285843,0.010333107062427356,,-0.04242010322880141,-0.05802739604535034,-0.045079388928760844,-0.10509651167268225,-0.06847298168061666,0.15847404677669985,0.24397211000000008,0.023934220164392173,0.04715570556972182,27.835151474475076,0.17958852862556896,-0.591018729298,,,,,,,0.0575238441381849
2020-04-21,6870.42369865576,125992868717.38625,1.2473842,125980726474.5486,818062.0,252182288.55283257,279969619.428153,116039619.81187668,2713723357.67887,171.489232904734,18969498940.65626,0.80427693,18967133744.99661,370990.0,107016177.57135125,54535732.76547829,166.29272497860265,978979732.322244,0.183990009599538,18397328258.365547,0.413628488584,8112049783.486402,5151.0,152026451.917128,15.1725586238247,,,2243777870.5526433,,72375285.1558342,4658443.318301376,4018222.60560129,7585344365.384136,727265636.98686,0.013355217877197845,0.0024993691794943373,77.79337255399543,-0.0025565643736812876,2713723357.67887,21.721587461578917,125992868717.38625,18969498940.65626,18397328258.365547,2243777870.5526433,0.012178244924676562,663745448,,,-0.023490060875406726,,,0.24738419999999994,-0.19572307,-0.586371511416,,,0.5347904942320182,4285479.154681022,-0.13065860440828825,0.0027764423618181766,0.011279174689176497,0.006345807655276037,0.006912881594530548,0.0036558536566161457,0.0025898236884563178,0.00351679209184526,0.0035585948887500705,0.003555121712056321,,-0.01532581,21386613.0,2289385517.0,435333387.0,,75096769.0,0.018170754744344344,0.022949124189409895,0.004081938852498995,0.009531519710876046,,0.0024993691794943373,0.0027764423618181766,0.011279174689176497,-0.13065860440828825,0.006345807655276037,-0.02913994123038499,0.24738419999999994,-0.038464653360541945,-0.023490060875406726,28.579478771289835,-0.07532751830115991,-0.586371511416,,,,,,,-0.01481087593756314
