Coin,Bull_ΔCoVaR,Bear_ΔCoVaR,Gamma_Bull,Gamma_Bear,Risk_Amplifier
BTC,-0.035588052104278706,-0.049848352433726775,0.9481166736119127,0.8812307761156717,0.4007047165060651
ETH,-0.024010318715440356,-0.04046856020516562,0.49308966127384724,0.5324706093691347,0.6854653486603424
XRP,-0.020768344757365987,-0.02572357020044389,0.4020071687863833,0.2942153182642002,0.238595107167624
BNB,-0.02883115089245929,-0.034248749886517174,0.5828885369544983,0.48184309595835195,0.18790782977292952
SOL,-0.004923593148137712,0.006917434899477845,0.07129650687073763,-0.06522914489971754,-2.404956642710066
