Coin,Empirical_5%_Crash,EVT_0.1%_Doomsday_Crash,GPD_Shape_(Tail_Fatness)
BTC,-0.0633418375777715,-0.40380833772571445,0.288017322195557
SOL,0.0065833998183948,-0.30885468785364917,0.1793096136059535
BNB,-0.0542502809812784,-0.26261266376581216,0.09571839128919503
XRP,-0.0500766156058187,-0.24218742302997961,0.01607346226797823
ETH,-0.0531595292319033,-0.22040751430208783,-0.03640258372653554
